iter	RMSE
2335	63710.36706
2336	63704.90567
2337	63691.40083
2338	63682.05574
2339	63674.73669
2340	63665.43947
2341	63665.20245
2342	63655.70272
2343	63637.62847
2344	63628.4004
2345	63619.76563
2346	63610.90102
2347	63602.73417
2348	63597.65447
2349	63585.57762
2350	63574.68184
2351	63563.35448
2352	63555.95778
2353	63553.63265
2354	63546.49496
2355	63537.42576
2356	63521.18391
2357	63516.78117
2358	63503.96923
2359	63493.86922
2360	63482.59671
2361	63474.55899
2362	63463.72937
2363	63450.7785
2364	63443.08475
2365	63435.38549
2366	63416.46693
2367	63404.99621
2368	63396.95771
2369	63390.08296
2370	63380.63361
2371	63368.90281
2372	63361.21745
2373	63350.01833
2374	63341.48881
2375	63330.17324
2376	63322.24891
2377	63312.15005
2378	63301.32206
2379	63288.71538
2380	63281.40661
2381	63269.1514
2382	63259.51173
2383	63248.43387
2384	63242.47711
2385	63232.96958
2386	63222.43492
2387	63211.6939
2388	63204.83442
2389	63193.84578
2390	63189.47796
2391	63180.3055
2392	63172.0893
2393	63168.04921
2394	63161.77526
2395	63149.65794
2396	63141.29588
2397	63141.06372
2398	63132.33871
2399	63121.67062
2400	63108.96333
2401	63090.87977
2402	63081.13864
2403	63080.90724
2404	63071.59085
2405	63061.74448
2406	63050.93956
2407	63038.59346
2408	63029.83233
2409	63027.29846
2410	63014.89881
2411	63007.27136
2412	63002.63925
2413	62999.2774
2414	62995.26755
2415	62983.89557
2416	62976.37433
2417	62972.55133
2418	62962.97269
2419	62950.85092
2420	62937.63794
2421	62918.93279
2422	62907.33069
2423	62904.07158
2424	62903.84788
2425	62899.89743
2426	62882.25419
2427	62870.20598
2428	62866.73667
2429	62858.39416
2430	62851.87361
2431	62841.81118
2432	62838.5004
2433	62828.04492
2434	62817.21392
2435	62813.44358
2436	62804.62217
2437	62795.92582
2438	62793.44884
2439	62791.00155
2440	62780.20534
2441	62773.14304
2442	62761.98082
2443	62761.76502
2444	62756.54186
2445	62743.44198
2446	62733.82971
2447	62723.5253
2448	62712.92224
2449	62709.10222
2450	62698.9333
2451	62690.32358
2452	62673.78126
2453	62668.43659
2454	62659.95524
2455	62649.20525
2456	62641.49953
2457	62630.80512
2458	62616.50569
2459	62604.52602
2460	62604.33119
2461	62594.16044
2462	62584.11709
2463	62580.06607
2464	62571.10098
2465	62559.8314
2466	62550.63986
2467	62546.81277
2468	62538.34561
2469	62530.56706
2470	62518.55707
2471	62510.20639
2472	62497.59024
2473	62487.22595
2474	62470.17715
2475	62466.79267
2476	62460.05917
2477	62455.69594
2478	62445.59274
2479	62442.17233
2480	62432.51412
2481	62420.89161
2482	62409.27354
2483	62400.23572
2484	62397.14213
2485	62388.00457
2486	62379.09476
2487	62365.80596
2488	62357.16492
2489	62343.68463
2490	62336.04007
2491	62326.24541
2492	62319.08154
2493	62314.43555
2494	62308.96585
2495	62301.38881
2496	62292.86575
2497	62281.49701
2498	62275.58596
2499	62265.60558
